,Название,Описание,Цена,words
40,салат~Салат цезарь с курицей,"Копчёная куриная грудка, томаты Черри, салат айсберг, гренки, сыр Пармезан, соус Цезарь (майонез, анчоус, каперсы, чеснок, сыр Пармезан).
Вес: 200/60/15",375,"цезарь_NOUN,курица_NOUN,салат_NOUN"
41,салат~Салат цезарь с креветками,"Креветки, томаты Черри, салат айсберг, сыр Пармезан, гренки, соус Цезарь (майонез, анчоус, каперсы, чеснок, сыр Пармезан).
Вес: 180/60/15",485,"цезарь_NOUN,креветка_NOUN,салат_NOUN"
42,салат~Греческий салат,"Томаты, свежие огурцы, сладкий перец, салат Айсберг, сыр Фета, лук, маслины, оливковое масло.

Вес: 265/10",295,"салат_NOUN,греческий_ADJ"
43,суп~Мисо суп с лососем,"Бульон Мисо, лосось, соевый творог Тофу, водоросли Вакаме, грибы Намеко и зеленый лук",295,"лосось_NOUN,суп_NOUN"
44,суп~Том Ям,"Паста Том, сливки, грибы, лемонграсс, креветки, лапша Харусаме, помидор черри, лист лайма",390,"суп_NOUN,яма_NOUN"
45,суп~Мисо суп классический,"Бульон Мисо, соевый творог Тофу, водоросли Вакаме, грибы Намеко и зеленый лук",195,"классический_ADJ,суп_NOUN"
46,суши~Суши Лосось,"Рис,Лосось",75,"лосось_NOUN,суша_NOUN"
47,суши~Суши Угорь,"Рис, угорь копченый, соус унаги, водоросли нори, кунжут",95,"угорь_NOUN,суша_NOUN"
48,суши~Суши Капеллана Масаго,"Рис, икра капеллана масаго, водоросли нори",95,"капеллан_NOUN,суша_NOUN,сушь_NOUN"
49,суши~Суши Лосось,"Рис,Лосось",75,"лосось_NOUN,суша_NOUN"
50,суши~Суши Угорь,"Рис, угорь копченый, соус унаги, водоросли нори, кунжут",95,"угорь_NOUN,суша_NOUN"
51,суши~Суши Капеллана Масаго,"Рис, икра капеллана масаго, водоросли нори",95,"капеллан_NOUN,суша_NOUN,сушь_NOUN"
52,суши~Суши Спайс Креветка,"Рис, креветка отварная, соус спайс, водоросли нори",95,"спайс_NOUN,креветка_NOUN,суша_NOUN"
53,суши~Суши Спайс Лосось,"Рис, лосось, соус спайс, водоросли нори",95,"спайс_NOUN,лосось_NOUN,суша_NOUN"
54,суши~Суши Спайс Угорь,"Рис, угорь, соус спайс, водоросли нори",100,"спайс_NOUN,суша_NOUN,угорь_NOUN"
55,суши~Суши Спайс Креветка,"Рис, креветка отварная, соус спайс, водоросли нори",95,"спайс_NOUN,креветка_NOUN,суша_NOUN"
56,суши~Суши Спайс Лосось,"Рис, лосось, соус спайс, водоросли нори",95,"спайс_NOUN,лосось_NOUN,суша_NOUN"
57,суши~Суши Спайс Угорь,"Рис, угорь, соус спайс, водоросли нори",100,"спайс_NOUN,суша_NOUN,угорь_NOUN"
58,сет~Американская классика,"Ролл Филадельфия стандарт, ролл Калифорния с Креветкой стандарт, ролл Калифорния лосось стандарт, ролл Миядзаки стандарт",1295,"американский_ADJ,классика_NOUN,сет_NOUN"
59,сет~Сет с Угрем,"Роллы Унаги Маки и Угорь, суши Угорь, суши Спайс Угорь 2 шт.",895,"угорь_NOUN,сет_NOUN"
60,сет~Сет на выходные,"Ролл Калифорния Креветка стандарт, ролл Угорь, ролл Лосось, ролл Шинпачи стандарт, ролл Торинику стандарт, горячий ролл Хот Спайс Креветка",1390,"выходной_ADJ,сет_NOUN"
61,сет~Филадельфия,"Роллы Филадельфия, Торинику, Канада, Унаги маки, Цезарь Маки, Калифорния Лайт, Терияки Гриль, Филадельфия Лайт, Грин, Миядзаки",3030,"филадельфия_NOUN,сет_NOUN"
62,сет~Сет с Лососем,"Ролл Лосось, ролл Филадельфия стандарт, 2 суши Лосось и 2 суши Спайс Лосось",890,"лосось_NOUN,сет_NOUN"
63,сет~Сет Премиум,"Ролл Цезарь Маки стандарт, горячий ролл Цезарь стандарт, ролл Канада стандарт, ролл Миядзаки стандарт, горячий ролл Фуджи Темпура, 2л Домашнего лимонада",1990,"премиум_NOUN,сет_NOUN"
64,сет~Fitness,"Ролл Ясай Маки, ролл Филадельфия Лайт, ролл Грин, ролл Огурец, ролл Авокадо, всего по два ;)",1590,сет_NOUN
65,сет~Сет на одного,"Ролл Калифорния Лосось стандарт, ролл Миядзаки стандарт, ролл Огурец, 1 литр Ягодного морса",860,сет_NOUN
66,сет~Сет Сакура,"Ролл Филадельфия Лайт стандарт, Ролл Цезарь Маки стандарт, Ролл Калифорния Лосось стандарт, Ролл Миядзаки стандарт, 1л Облепихового морса",1335,"сакура_NOUN,сет_NOUN"
67,сет~Такусан Сет,"Роллы Шинпачи XL, Ясай Маки XL, Терияки Гриль XL, Торинику XL, горячий ролл Хаму Темпура, горячий ролл Цезарь",1490,сет_NOUN
68,сет~Сет для двоих,"Ролл Калифорния Лайт стандарт,  ролл Филадельфия Лайт стандарт, ролл Грин стандарт, ролл Шинпачи стандарт",995,сет_NOUN
69,сет~Сет № 2,"Роллы Цезарь Маки и Канада стандарт, роллы Лосось и Угорь, 2 суши Лосось, 2 суши Угорь.",1475,сет_NOUN
70,сет~Сет № 3,"Ролл Калифорния Креветка стандарт, ролл Филадельфия стандарт, ролл Окинава стандарт, ролл Цезарь Маки стандарт, ролл Терияки-Гриль стандарт, ролл Лосось, ролл Угорь",2080,сет_NOUN
71,сет~Сет с горячими роллами,"Горячий ролл Фуджи Темпура, горячий ролл Хаму Темпура, горячий ролл Хот Спайс Краб, горячий ролл Цезарь, 1л Облепихового морса",1280,"горячий_ADJ,ролл_NOUN,сет_NOUN"
72,сет~Сет для гурманов,"Ролл Филадельфия, ролл Шинпачи, ролл Калифорния Креветка, ролл Авокадо, ролл Лосось, 1 литр домашнего лимонада",1350,"гурман_NOUN,сет_NOUN"
73,закуска~Картофель Фри,Картофель фри + кетчуп Heinz,175,"картофель_NOUN,закуска_NOUN,фри_ADJ"
74,закуска~Гренки чесночные,"Хрустящие чесночные гренки - отличное дополнение к любому столу. Состав: бородинский черный хлеб, чеснок и растительное масло.",135,"закуска_NOUN,чесночный_ADJ,гренок_NOUN"
75,закуска~Картофель по-деревенски,Картофель по домашнему + кетчуп Heinz,175,"картофель_NOUN,закуска_NOUN"
